,Link,Name,Subtitle,Price,Sale Price
0,,,,,
1,https://www.nike.comhttps://www.nike.com/ca/t/air-max-plus-younger-shoes-jFP7xK/FZ0023-035,Nike Air Max Plus,Younger Kids' Shoes,$121.99$140,$121.99
2,https://www.nike.comhttps://www.nike.com/ca/t/air-jordan-1-mid-se-older-shoes-kRZFp1/HF3193-102,Air Jordan 1 Mid SE,Older Kids' Shoes,$120.99$140,$120.99
3,https://www.nike.comhttps://www.nike.com/ca/t/dunk-high-retro-shoe-1PhQRw/DD1399-105,Nike Dunk High Retro,Men's Shoe,$120.99$170,$120.99
4,https://www.nike.comhttps://www.nike.com/ca/t/dunk-low-shoes-TlGnmw/DD1503-103,Nike Dunk Low,Women's Shoes,$120.99$150,$120.99
5,https://www.nike.comhttps://www.nike.com/ca/t/motiva-gore-tex-waterproof-walking-shoes-wLh2VR/HM0354-001,Nike Motiva GORE-TEX,Men's Waterproof Walking Shoes,$126.99$180,$126.99
6,https://www.nike.comhttps://www.nike.com/ca/t/sportswear-collection-oversized-cosy-1-4-zip-logo-sweatshirt-4ZzJFL/FV7806-338,Nike Sportswear Collection,Women's Oversized Cosy 1/4-Zip Logo Sweatshirt,$120.99$140,$120.99
7,https://www.nike.comhttps://www.nike.com/ca/t/air-max-97-shoes-h6hqBR/BQ4567-001,Nike Air Max 97,Men's Shoes,$164.99$235,$164.99
8,https://www.nike.comhttps://www.nike.com/ca/t/air-jordan-4-rm-older-shoes-bNGD2B/HV5187-010,Air Jordan 4 RM,Older Kids' Shoes,$120.99$150,$120.99
9,https://www.nike.comhttps://www.nike.com/ca/t/air-max-sndr-shoes-6dP6W8/FZ2068-600,Nike Air Max SNDR,Women's Shoes,$164.99$235,$164.99
10,https://www.nike.comhttps://www.nike.com/ca/t/dunk-high-shoes-JW4zhB/DD1869-103,Nike Dunk High,Women's Shoes,$120.99$170,$120.99
11,https://www.nike.comhttps://www.nike.com/ca/t/jordan-brooklyn-puffer-jacket-CwzwZZ/FV7317-222,Jordan Brooklyn,Men's Puffer Jacket,$161.99$230,$161.99
12,https://www.nike.comhttps://www.nike.com/ca/t/jordan-heir-series-birch-heather-basketball-shoes-RzmRMJ/FZ2471-103,Jordan Heir Series 'Birch Heather',Women's Basketball Shoes,$120.99$145,$120.99
13,https://www.nike.comhttps://www.nike.com/ca/t/tech-woven-windrunner-jacket-tWw53x/HV6514-451,Nike Tech,Men's Woven Full-Zip Windrunner Jacket,$133.99$190,$133.99
14,https://www.nike.comhttps://www.nike.com/ca/t/sportswear-classic-puffer-loose-parka-g9Ttfb/FZ5903-010,Nike Sportswear Classic Puffer,Women's Therma-FIT Loose Parka,$147.99$210,$147.99
15,https://www.nike.comhttps://www.nike.com/ca/t/air-max-1-86-og-g-golf-shoes-KQcqMS/FN0697-100,Nike Air Max 1 '86 OG G,Men's Golf Shoes,$147.99$210,$147.99
16,https://www.nike.comhttps://www.nike.com/ca/t/blazer-mid-77-vintage-shoes-CBDjT0/BQ6806-100,Nike Blazer Mid '77 Vintage,Men's Shoes,$120.99$140,$120.99
17,https://www.nike.comhttps://www.nike.com/ca/t/windrunner-primaloft-hooded-puffer-jacket-LF2x2Z/FB8185-010,Nike Windrunner PrimaLoft®,Men's Storm-FIT Hooded Puffer Jacket,$217.99$310,$217.99
18,https://www.nike.comhttps://www.nike.com/ca/t/air-max-tw-shoes-bfGWNc/DQ3984-001,Nike Air Max TW,Men's Shoes,$147.99$210,$147.99
19,https://www.nike.comhttps://www.nike.com/ca/t/air-force-1-sage-low-shoe-cSgsrx/AR5339-700,Nike Air Force 1 Sage Low,Women's Shoe,$120.99$140,$120.99
20,https://www.nike.comhttps://www.nike.com/ca/t/sportswear-tech-fleece-oversized-hoodie-63Fb1w/FV6322-010,Nike Sportswear Tech Fleece,Women's Oversized Hoodie,$120.99$160,$120.99
21,https://www.nike.comhttps://www.nike.com/ca/t/air-vapormax-2023-flyknit-shoes-fnRM4R/DV1678-002,Nike Air VaporMax 2023 Flyknit,Men's Shoes,$189.99$270,$189.99
22,https://www.nike.comhttps://www.nike.com/ca/t/blazer-mid-77-shoes-q5gmbj/CZ1055-100,Nike Blazer Mid '77,Women's Shoes,$120.99$140,$120.99
23,https://www.nike.comhttps://www.nike.com/ca/t/go-firm-support-high-waisted-7-8-leggings-with-pockets-PhKlwW/FZ0005-010,Nike Go,Women's Firm-Support High-Waisted 7/8 Leggings with Pockets,$120.99$160,$120.99
24,https://www.nike.comhttps://www.nike.com/ca/t/jordan-sport-jam-warm-up-jacket-fgZWfV/FN5848-010,Jordan Sport Jam,Men's Warm-Up Jacket,$120.99$150,$120.99
25,https://www.nike.comhttps://www.nike.com/ca/t/team-31-nba-jacket-qSrdFT/FQ3590-276,Team 31,Men's Nike NBA Jacket,$168.99$240,$168.99
26,https://www.nike.comhttps://www.nike.com/ca/t/air-max-1-86-og-g-golf-shoes-TdWLzw/DV1403-003,Nike Air Max 1 '86 OG G,Men's Golf Shoes,$147.99$210,$147.99
27,https://www.nike.comhttps://www.nike.com/ca/t/jordan-renegade-jacket-cFSkmg/FV7267-068,Jordan Renegade,Men's Jacket,$217.99$310,$217.99
28,https://www.nike.comhttps://www.nike.com/ca/t/air-max-dn-shoes-hbCsnJ/HJ9638-001,Nike Air Max Dn Premium,Women's Shoes,$157.99$225,$157.99
29,https://www.nike.comhttps://www.nike.com/ca/t/los-angeles-lakers-statement-edition-jordan-dri-fit-nba-swingman-jersey-BJjwpq/DO9530-508,Los Angeles Lakers Statement Edition,Men's Jordan Dri-FIT NBA Swingman Jersey,$120.99$150,$120.99
30,https://www.nike.comhttps://www.nike.com/ca/t/mercurial-superfly-10-academy-mg-high-top-football-boot-Khvb30/FQ1456-002,Nike Mercurial Superfly 10 Academy,MG High-Top Football Boot,$120.99$135,$120.99
31,https://www.nike.comhttps://www.nike.com/ca/t/fc-barcelona-strike-home-dri-fit-football-jacket-QS6Bg3/FN9795-455,F.C. Barcelona Strike Home,Men's Nike Dri-FIT Football Jacket,$133.99$190,$133.99
32,https://www.nike.comhttps://www.nike.com/ca/t/air-max-dn-se-shoes-VwfTmt/HV4436-133,Nike Air Max Dn SE,Women's Shoes,$147.99$210,$147.99
33,https://www.nike.comhttps://www.nike.com/ca/t/tech-fleece-joggers-rFdfSt/HV0959-355,Nike Tech,Men's Fleece Joggers,$120.99$140,$120.99
34,https://www.nike.comhttps://www.nike.com/ca/t/paris-saint-germain-tech-fleece-windrunner-football-hoodie-FxRH4m/FZ7224-410,Paris Saint-Germain Tech Fleece Windrunner,Men's Nike Football Full-Zip Hoodie,$136.99$195,$136.99
